ID,orderDate,title,newsletter,websiteDesign,paymentMethod,couponDiscount,purchaseValue,giftwrapping,throughAffiliate,shippingFees,dvd,blueray,vinyl,videogame,videogameDownload,tvEquiment,prodOthers,prodRemitted,prodSecondHand,returnCustomer
37,5/15/14,Mr,0,1,Cash,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
38,1/7/15,Mrs,0,1,Current Account,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1/6/15,Mr,0,1,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
42,1/9/15,Mrs,0,3,Invoice,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0
44,7/19/14,Mr,0,1,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0
45,9/17/14,Others,0,1,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
46,10/26/14,Mr,1,3,Invoice,0,5,0,1,0,5,0,3,0,0,0,0,0,0,1
47,9/11/14,Mr,0,3,Invoice,0,5,0,1,0,2,0,0,0,0,0,0,0,0,1
49,9/3/14,Mr,0,1,Cash,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50,12/20/14,Mr,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/30/14,Mrs,0,2,Current Account,1,5,0,1,0,3,1,0,0,0,0,0,0,0,0
52,1/5/15,Mrs,0,1,Invoice,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6/13/14,Mr,0,1,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
54,11/10/14,Mr,0,2,Current Account,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
55,1/9/15,Mrs,0,2,Credit Card,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
56,6/20/14,Company,1,2,Invoice,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0
58,12/25/14,Mrs,1,1,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
59,7/8/14,Mr,0,3,Cash,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
60,12/13/14,Company,0,3,Credit Card,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0
61,1/13/15,Mrs,0,1,Cash,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
62,10/12/14,Mr,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1/10/15,Mr,0,1,Current Account,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
64,11/10/14,Mrs,1,1,Invoice,0,5,0,0,0,3,0,0,0,0,0,0,0,0,1
65,12/24/14,Others,0,1,Cash,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7/5/14,Mrs,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
68,11/19/14,Others,0,1,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
69,12/25/14,Mrs,0,1,Invoice,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1
70,1/3/15,Mrs,0,1,Invoice,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
71,5/12/14,Others,0,1,Invoice,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
72,1/17/15,Mrs,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1/20/15,Mrs,1,1,Credit Card,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
74,1/19/15,Others,0,3,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1
75,7/8/14,Mr,0,3,Invoice,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
76,11/17/14,Others,0,3,Invoice,0,5,0,1,0,4,0,0,0,0,0,0,0,0,1
77,6/21/14,Mrs,1,1,Invoice,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
78,9/16/14,Mrs,0,1,Current Account,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
79,6/9/14,Mr,0,1,Current Account,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
80,11/17/14,Mr,0,1,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1
81,9/1/14,Mrs,0,1,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
83,1/21/15,Mrs,0,1,Credit Card,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
84,9/27/14,Mr,0,1,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
85,12/24/14,Mrs,0,1,Credit Card,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
86,5/5/14,Company,1,1,Cash,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
87,8/21/14,Mr,0,3,Credit Card,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
88,8/17/14,Mr,0,1,Current Account,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0
90,8/22/14,Mrs,0,1,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
91,7/29/14,Others,0,1,Invoice,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0
93,10/29/14,Mr,0,1,Invoice,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1
94,11/27/14,Mr,0,2,Invoice,1,2,0,1,0,2,0,0,0,0,0,0,0,0,1
95,5/26/14,Mr,0,1,Invoice,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0
96,8/27/14,Mr,0,1,Invoice,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
97,5/22/14,Mr,1,1,Invoice,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
98,6/28/14,Mr,1,3,Cash,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0
99,9/28/14,Others,0,1,Invoice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4/29/14,Others,1,2,Invoice,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
101,7/31/14,Mr,0,1,Current Account,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0
103,1/5/15,Mrs,0,1,Current Account,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
104,12/25/14,Mr,1,3,Invoice,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0
105,7/29/14,Mr,1,1,Invoice,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0
106,6/10/14,Mr,0,2,Invoice,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0
107,12/17/14,Mrs,0,2,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
108,10/31/14,Mrs,0,3,Current Account,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0
109,11/12/14,Mr,0,1,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4/24/14,Mrs,0,1,Invoice,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
113,10/11/14,Others,1,3,Cash,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
114,7/9/14,Mrs,1,1,Current Account,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
115,9/6/14,Others,1,2,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1
116,11/30/14,Mrs,0,1,Credit Card,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
118,5/2/14,Mrs,0,3,Cash,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
119,9/30/14,Mrs,0,1,Cash,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,12/5/14,Mrs,1,1,Cash,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1/8/15,Mr,1,3,Cash,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0
122,10/17/14,Company,0,1,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
124,12/26/14,Mr,0,2,Cash,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
125,8/31/14,Mrs,0,1,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
126,6/4/14,Mr,0,1,Credit Card,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
127,7/29/14,Others,0,1,Credit Card,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
128,7/20/14,Mr,0,1,Credit Card,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
129,5/8/14,Mr,0,1,Invoice,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
130,1/9/15,Mrs,0,1,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
131,12/10/14,Mrs,0,1,Invoice,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0
132,5/26/14,Others,0,1,Current Account,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
134,1/7/15,Mr,1,3,Cash,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1
135,4/23/14,Mr,0,1,Credit Card,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
136,1/15/15,Mr,1,2,Invoice,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0
137,6/24/14,Mrs,0,1,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
138,9/10/14,Mr,0,1,Cash,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
139,10/20/14,Mr,0,1,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8/28/14,Mr,0,1,Invoice,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
141,5/30/14,Others,0,1,Invoice,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1
142,1/13/15,Mr,0,1,Cash,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
143,11/2/14,Mr,0,2,Current Account,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
145,9/28/14,Mr,0,1,Invoice,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0
146,10/23/14,Mrs,1,2,Cash,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
149,11/26/14,Company,0,3,Invoice,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0
150,12/14/14,Mrs,0,1,Invoice,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
151,1/9/15,Company,0,3,Cash,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1
152,1/2/15,Mr,0,3,Cash,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
153,6/12/14,Mrs,0,1,Invoice,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
154,12/5/14,Mr,0,1,Credit Card,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,5/30/14,Mr,0,1,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,4/28/14,Mrs,1,3,Current Account,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
157,5/17/14,Company,1,1,Cash,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
158,11/1/14,Others,0,1,Invoice,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
159,7/30/14,Others,0,1,Invoice,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1
160,8/26/14,Mr,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
161,5/26/14,Mrs,0,2,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
162,8/28/14,Mr,0,1,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
163,5/1/14,Mrs,0,1,Cash,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
164,9/18/14,Mr,1,2,Invoice,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
165,6/13/14,Others,1,1,Credit Card,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
166,10/15/14,Mrs,0,3,Cash,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
167,4/25/14,Mr,1,3,Cash,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1
168,10/29/14,Mr,1,1,Current Account,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0
169,1/5/15,Mr,0,2,Cash,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
170,7/6/14,Company,1,1,Invoice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,1/7/15,Mrs,1,2,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
173,12/17/14,Mrs,0,1,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
174,10/1/14,Mr,0,1,Current Account,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0
175,1/14/15,Mrs,0,1,Cash,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
176,5/18/14,Mr,1,1,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
177,1/5/15,Mr,0,2,Invoice,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
178,10/20/14,Mr,0,2,Current Account,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
180,9/19/14,Mr,0,1,Invoice,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
181,7/31/14,Mr,0,3,Cash,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0
182,1/6/15,Mrs,0,2,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
183,11/24/14,Mrs,0,1,Credit Card,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
184,1/13/15,Mrs,0,3,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
185,1/17/15,Mr,0,1,Current Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
186,12/13/14,Mr,0,1,Current Account,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
187,11/17/14,Others,0,1,Credit Card,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
188,12/8/14,Mr,0,2,Current Account,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
190,11/2/14,Mrs,0,1,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
191,9/16/14,Mrs,0,1,Current Account,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
192,7/25/14,Mr,0,2,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
193,8/25/14,Mr,0,3,Cash,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
195,10/27/14,Mrs,1,3,Cash,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0
196,11/18/14,Mrs,0,1,Current Account,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1/3/15,Mrs,0,1,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
199,12/10/14,Mrs,0,2,Current Account,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
200,11/4/14,Mr,1,1,Credit Card,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
202,9/10/14,Mrs,0,3,Credit Card,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
203,5/23/14,Mr,0,1,Credit Card,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1
204,1/11/15,Mrs,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1/18/15,Mr,0,3,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
206,7/8/14,Mrs,1,1,Invoice,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0
207,6/29/14,Mrs,0,1,Credit Card,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1
208,7/13/14,Company,0,1,Current Account,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
209,12/28/14,Mr,0,1,Invoice,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0
210,11/5/14,Mr,0,2,Current Account,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
211,12/26/14,Mr,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
212,4/26/14,Mr,0,1,Current Account,0,5,0,0,0,2,4,0,0,0,0,0,0,0,0
213,8/22/14,Mrs,0,1,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0
214,1/13/15,Others,0,1,Credit Card,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0
216,8/1/14,Mrs,1,1,Current Account,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0
217,10/1/14,Mr,0,1,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
218,1/5/15,Mr,0,2,Invoice,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
219,5/15/14,Others,0,1,Invoice,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0
220,12/23/14,Mr,0,2,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
221,10/11/14,Mr,0,1,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
222,6/18/14,Mrs,0,2,Invoice,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
223,7/6/14,Mr,0,1,Cash,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
226,7/29/14,Mr,0,2,Current Account,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
227,7/19/14,Mrs,0,1,Invoice,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
228,5/16/14,Company,0,2,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
231,1/7/15,Mrs,0,1,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,6/9/14,Others,0,1,Invoice,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
233,8/15/14,Mr,0,1,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
234,9/29/14,Others,0,1,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
235,5/12/14,Mrs,0,1,Cash,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
236,10/22/14,Mr,0,3,Invoice,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
237,12/4/14,Mr,0,1,Current Account,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
238,7/17/14,Mr,0,1,Invoice,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
239,9/13/14,Others,0,1,Invoice,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1
240,1/8/15,Mrs,0,1,Invoice,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0
242,8/11/14,Mrs,0,1,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
243,10/30/14,Others,0,1,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
244,11/29/14,Others,0,2,Invoice,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
245,10/19/14,Mr,0,3,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
247,12/26/14,Mrs,0,1,Current Account,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
248,12/25/14,Mrs,0,3,Current Account,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0
250,12/26/14,Mr,0,3,Credit Card,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0
251,9/15/14,Mr,1,3,Current Account,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1
252,1/10/15,Mrs,1,1,Current Account,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
253,7/12/14,Mr,1,2,Invoice,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0
254,7/2/14,Mrs,0,1,Cash,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
255,1/16/15,Others,0,1,Invoice,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
257,5/26/14,Mrs,0,2,Current Account,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
258,7/7/14,Mr,0,2,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
259,8/19/14,Mr,0,3,Cash,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
260,10/4/14,Others,0,1,Invoice,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
262,11/3/14,Mrs,0,3,Current Account,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0
263,11/13/14,Company,0,3,Invoice,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
265,8/12/14,Mrs,0,3,Current Account,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
266,1/21/15,Mr,0,2,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
267,9/8/14,Mrs,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
268,10/7/14,Mrs,0,2,Current Account,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
269,4/24/14,Company,0,1,Current Account,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
270,8/23/14,Others,0,1,Current Account,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
271,8/25/14,Mrs,0,2,Credit Card,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
272,11/26/14,Mrs,1,2,Credit Card,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1
273,12/15/14,Others,0,1,Current Account,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
274,9/3/14,Mr,0,1,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
275,7/7/14,Mrs,1,2,Credit Card,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
276,1/6/15,Mr,0,2,Current Account,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0
277,7/17/14,Mr,0,3,Credit Card,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1
278,5/5/14,Company,1,1,Invoice,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0
279,5/26/14,Mr,0,2,Current Account,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
280,8/1/14,Mr,0,1,Cash,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
281,6/24/14,Mr,0,3,Cash,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0
282,12/4/14,Others,0,2,Cash,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1
283,4/28/14,Mrs,0,2,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
284,5/17/14,Mrs,0,1,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
285,9/1/14,Mr,0,1,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
286,10/27/14,Others,0,2,Cash,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0
287,11/27/14,Mr,0,1,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
288,1/2/15,Mr,0,2,Invoice,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
289,5/15/14,Mr,0,3,Current Account,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1
290,7/9/14,Others,0,1,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
291,9/14/14,Others,0,1,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
292,12/14/14,Mr,0,2,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1
293,8/4/14,Mr,0,2,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1
294,10/28/14,Mr,1,1,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
295,5/16/14,Mrs,0,2,Cash,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
296,10/1/14,Mr,0,3,Cash,0,5,0,1,0,0,0,2,0,0,0,0,0,0,1
297,12/13/14,Mr,0,1,Invoice,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0
298,8/27/14,Mrs,1,2,Current Account,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
299,10/1/14,Mr,0,2,Cash,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
300,12/26/14,Mr,0,3,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
301,10/4/14,Mr,0,2,Current Account,1,3,0,1,0,2,1,0,0,0,0,0,0,0,0
302,6/17/14,Mr,1,3,Current Account,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0
305,5/24/14,Others,1,1,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
307,6/9/14,Mr,0,2,Current Account,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
309,7/25/14,Others,0,1,Current Account,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1/4/15,Mr,0,1,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1/19/15,Mr,0,3,Cash,0,5,0,1,0,1,2,0,1,0,0,0,0,0,0
312,7/7/14,Mrs,0,1,Credit Card,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
313,12/28/14,Mr,0,1,Current Account,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
314,4/25/14,Company,0,3,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
